season,game_id,game_date,season_phase,game_time_et,matchup_key,player_id,player,team_abbr,opponent_abbr,is_home,starter,position,minutes,points,rebounds,assists,three_made,three_attempts,turnovers,steals,blocks,oreb,dreb,personal_fouls,fgm,fga,ftm,fta,plus_minus,team_score,opponent_score,PTS,REB,AST,THREES,PRA,PA,PR,RA,source
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,4432834,Laeticia Amihere,ATL,WSH,True,False,F,13.0,4,3,0,0,0,2,0,0,0,3,0,2,2,0,0,+3,87,84,4.0,3.0,0.0,0.0,7.0,4.0,7.0,3.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,3143139,Khaalia Hillsman,ATL,WSH,True,False,C,13.0,7,5,0,0,0,4,0,0,1,4,3,2,3,3,3,+2,87,84,7.0,5.0,0.0,0.0,12.0,7.0,12.0,5.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,2999035,Aerial Powers,ATL,WSH,True,False,G,14.0,9,2,1,2,3,3,1,0,0,2,1,3,4,1,2,0,87,84,9.0,2.0,1.0,2.0,12.0,10.0,11.0,3.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,3904551,Taja Cole,ATL,WSH,True,False,G,18.0,9,3,6,1,2,0,0,0,0,3,0,3,5,2,3,+7,87,84,9.0,3.0,6.0,1.0,18.0,15.0,12.0,9.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,4398589,Elizabeth Balogun,ATL,WSH,True,False,G,16.0,6,2,1,2,4,2,0,0,0,2,4,2,4,0,0,0,87,84,6.0,2.0,1.0,2.0,9.0,7.0,8.0,3.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,4398751,Destanni Henderson,ATL,WSH,True,False,G,22.0,7,3,4,2,5,1,1,0,1,2,1,2,7,1,2,+8,87,84,7.0,3.0,4.0,2.0,14.0,11.0,10.0,7.0,espn_site_api
2024,401647556,2024-05-04,preseason,2024-05-04T21:30-04:00,LA-SEA,2566106,Dearica Hamby,LA,SEA,False,True,F,16.0,17,9,5,1,2,3,0,0,3,6,2,7,9,2,2,+18,84,79,17.0,9.0,5.0,1.0,31.0,22.0,26.0,14.0,espn_site_api
2024,401647556,2024-05-04,preseason,2024-05-04T21:30-04:00,LA-SEA,4433404,Cameron Brink,LA,SEA,False,True,F,22.0,11,3,0,1,2,1,0,2,1,2,2,4,8,2,2,+16,84,79,11.0,3.0,0.0,1.0,14.0,11.0,14.0,3.0,espn_site_api
2024,401647556,2024-05-04,preseason,2024-05-04T21:30-04:00,LA-SEA,2490794,Layshia Clarendon,LA,SEA,False,True,G,12.0,4,0,2,0,0,2,2,0,0,0,1,2,2,0,0,+9,84,79,4.0,0.0,2.0,0.0,6.0,6.0,4.0,2.0,espn_site_api
2024,401647556,2024-05-04,preseason,2024-05-04T21:30-04:00,LA-SEA,3058892,Lexie Brown,LA,SEA,False,True,G,21.0,10,4,2,2,5,2,1,0,1,3,1,2,6,4,4,+17,84,79,10.0,4.0,2.0,2.0,16.0,12.0,14.0,6.0,espn_site_api
2024,401647556,2024-05-04,preseason,2024-05-04T21:30-04:00,LA-SEA,3142327,Kia Nurse,LA,SEA,False,True,G,19.0,9,3,2,3,6,3,0,0,1,2,1,3,6,0,0,+4,84,79,9.0,3.0,2.0,3.0,14.0,11.0,12.0,5.0,espn_site_api
2024,401647556,2024-05-04,preseason,2024-05-04T21:30-04:00,LA-SEA,3099736,Stephanie Talbot,LA,SEA,False,False,F,6.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,+1,84,79,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,espn_site_api
2024,401647556,2024-05-04,preseason,2024-05-04T21:30-04:00,LA-SEA,3142255,Monique Billings,LA,SEA,False,False,F,6.0,2,6,0,0,0,1,0,0,1,5,0,1,1,0,0,-1,84,79,2.0,6.0,0.0,0.0,8.0,2.0,8.0,6.0,espn_site_api
