playerName,PTS_samples,PTS_acc,PTS_holdout,PTS_hit80,REB_samples,REB_acc,REB_holdout,REB_hit80,AST_samples,AST_acc,AST_holdout,AST_hit80,THREES_samples,THREES_acc,THREES_holdout,THREES_hit80,PRA_samples,PRA_acc,PRA_holdout,PRA_hit80,PA_samples,PA_acc,PA_holdout,PA_hit80,PR_samples,PR_acc,PR_holdout,PR_hit80,RA_samples,RA_acc,RA_holdout,RA_hit80
Kawhi Leonard,49,81.63,53.33,true,49,91.84,33.33,true,49,81.63,60,true,46,86.96,71.43,true,35,88.57,45.45,true,34,100,54.55,true,34,85.29,36.36,true,34,97.06,54.55,true
Keegan Murray,22,100,71.43,true,21,90.48,57.14,true,22,90.91,71.43,true,22,95.45,57.14,true,10,90,33.33,true,10,100,66.67,true,10,100,66.67,true,10,100,33.33,true
Kenrich Williams,17,94.12,66.67,true,17,94.12,50,true,17,100,50,true,5,100,,true,12,100,75,true,12,100,50,true,12,100,100,true,12,100,75,true
Kentavious Caldwell-Pope,45,86.67,50,true,44,84.09,57.14,true,44,97.73,35.71,true,16,87.5,80,true,10,100,66.67,true,10,80,33.33,true,10,100,33.33,true,10,100,33.33,true
Kevin Durant,59,89.83,38.89,true,59,84.75,66.67,true,59,88.14,50,true,58,93.1,44.44,true,40,85,25,true,40,87.5,25,true,40,90,50,true,40,87.5,50,true
Kevin Huerter,40,87.5,50,true,40,92.5,58.33,true,40,92.5,50,true,19,100,66.67,true,12,100,50,true,12,100,50,true,12,100,50,true,12,100,25,true
Kevin Love,13,100,75,true,13,100,75,true,13,100,25,true,3,100,,true,5,100,,true,5,100,,true,4,100,,true,5,100,,true
Keyonte George,51,80.39,31.25,true,51,88.24,37.5,true,51,88.24,50,true,49,95.92,60,true,25,88,50,true,25,96,37.5,true,25,92,37.5,true,25,88,62.5,true
Kobe Brown,9,100,100,true,7,100,,true,7,100,,true,4,100,,true,6,100,,true,6,100,,true,6,83.33,,true,6,100,,true
Kobe Sanders,25,100,62.5,true,15,100,100,true,11,100,75,true,3,100,,true,18,94.44,83.33,true,19,100,33.33,true,18,88.89,50,true,10,100,33.33,true
Kris Dunn,61,88.52,57.89,true,62,87.1,42.11,true,62,85.48,47.37,true,54,85.19,76.47,true,44,86.36,64.29,true,45,80,57.14,true,45,88.89,50,true,45,84.44,35.71,true
Kris Murray,36,86.11,54.55,true,36,91.67,54.55,true,36,91.67,45.45,true,20,85,50,true,10,100,33.33,true,10,100,33.33,true,11,100,75,true,10,100,66.67,true
Kristaps Porziņģis,18,88.89,50,true,18,100,50,true,18,94.44,33.33,true,17,94.12,50,true,7,100,,true,7,100,,true,7,100,,true,7,100,,true
Kyshawn George,47,100,53.33,true,47,93.62,33.33,true,47,91.49,40,true,45,88.89,57.14,true,28,100,44.44,true,28,100,44.44,true,28,100,33.33,true,28,92.86,33.33,true
LaMelo Ball,53,84.91,50,true,53,92.45,43.75,true,53,84.91,56.25,true,49,89.8,53.33,true,34,97.06,63.64,true,34,82.35,63.64,true,34,88.24,72.73,true,34,94.12,63.64,true
Landry Shamet,34,97.06,81.82,true,32,84.38,40,true,34,100,63.64,true,13,100,25,true,15,100,40,true,15,93.33,80,true,15,100,60,true,15,86.67,20,true
